"Year","Month","Country","Ah1n12009","Ah1","Ah3","Ah5","Ah7n9","A_no_subtype","Bvic","Byam","Bnotdetermined","Influenza_A","Influenza_B"
2021,"October","Northern Hemisphere",407,0,1667,0,0,873,2697,0,726,2947,3423
2021,"October","Southern Hemisphere",54,0,33,0,0,4,72,0,9,91,81
2021,"September","Northern Hemisphere",307,0,1286,0,0,174,2519,0,365,1767,2884
2021,"September","Southern Hemisphere",23,0,31,0,0,2,67,0,12,56,79
2022,"April","Northern Hemisphere",957,0,10695,0,0,59062,894,0,704,70714,1598
2022,"April","Southern Hemisphere",221,0,1380,0,0,3556,17,0,330,5157,347
2022,"August","Northern Hemisphere",1232,0,9667,0,0,2809,356,0,576,13708,932
2022,"August","Southern Hemisphere",262,0,925,0,0,763,173,0,225,1950,398
2022,"December","Northern Hemisphere",20428,0,31175,0,1,265412,837,0,10863,317016,11700
2022,"December","Southern Hemisphere",135,0,306,0,0,232,9,0,127,673,136
2022,"February","Northern Hemisphere",532,0,4976,0,0,19036,8445,0,401,24544,8846
2022,"February","Southern Hemisphere",63,0,1670,0,0,865,34,0,96,2598,130
2022,"January","Northern Hemisphere",444,0,9409,0,0,20174,12961,0,762,30027,13723
2022,"January","Southern Hemisphere",50,0,4527,0,0,223,76,0,39,4800,115
2022,"July","Northern Hemisphere",407,0,10078,0,0,2794,162,0,449,13279,611
2022,"July","Southern Hemisphere",655,0,1008,0,0,1535,94,0,353,3198,447
2022,"June","Northern Hemisphere",331,0,11152,0,0,9030,166,0,702,20513,868
2022,"June","Southern Hemisphere",1422,0,1455,0,0,5039,27,0,309,7916,336
2022,"March","Northern Hemisphere",682,0,10781,0,0,56530,5255,0,698,67993,5953
2022,"March","Southern Hemisphere",122,0,2597,0,0,3773,6,0,268,6492,274
2022,"May","Northern Hemisphere",401,0,12130,0,0,40264,316,0,1029,52795,1345
2022,"May","Southern Hemisphere",837,0,1674,0,0,4811,37,0,322,7322,359
2022,"November","Northern Hemisphere",7636,0,27750,0,0,180767,704,0,3628,216153,4332
2022,"November","Southern Hemisphere",122,0,437,0,0,460,36,0,455,1019,491
